id,app,start_here,field,question,allowed_values,your_answer,your_source_url,notes
15,Pylon,usepylon.com,auth_family,"Does the API accept a static secret (API key / token / basic), an OAuth2 flow, or both?",static-secret | oauth-dance | both | none,,,
15,Pylon,usepylon.com,access,"Can a developer get working API credentials without contacting sales? If not, what stops them?",free | free-trial | paid-tier-required | admin-consent | app-review | partner-or-sales-gate | no-public-api,,,
15,Pylon,usepylon.com,existing_mcp,Is there an MCP server for this app? Published by the vendor (official) or a third party (community)?,official | community | none,,,
42,WooCommerce,woocommerce.com/document/woocommerce-rest-api,auth_family,"Does the API accept a static secret (API key / token / basic), an OAuth2 flow, or both?",static-secret | oauth-dance | both | none,,,
42,WooCommerce,woocommerce.com/document/woocommerce-rest-api,access,"Can a developer get working API credentials without contacting sales? If not, what stops them?",free | free-trial | paid-tier-required | admin-consent | app-review | partner-or-sales-gate | no-public-api,,,
42,WooCommerce,woocommerce.com/document/woocommerce-rest-api,existing_mcp,Is there an MCP server for this app? Published by the vendor (official) or a third party (community)?,official | community | none,,,
78,Coda,coda.io/developers,auth_family,"Does the API accept a static secret (API key / token / basic), an OAuth2 flow, or both?",static-secret | oauth-dance | both | none,,,
78,Coda,coda.io/developers,access,"Can a developer get working API credentials without contacting sales? If not, what stops them?",free | free-trial | paid-tier-required | admin-consent | app-review | partner-or-sales-gate | no-public-api,,,
78,Coda,coda.io/developers,existing_mcp,Is there an MCP server for this app? Published by the vendor (official) or a third party (community)?,official | community | none,,,
85,iPayX,ipayx.ai/docs,auth_family,"Does the API accept a static secret (API key / token / basic), an OAuth2 flow, or both?",static-secret | oauth-dance | both | none,,,
85,iPayX,ipayx.ai/docs,access,"Can a developer get working API credentials without contacting sales? If not, what stops them?",free | free-trial | paid-tier-required | admin-consent | app-review | partner-or-sales-gate | no-public-api,,,
85,iPayX,ipayx.ai/docs,existing_mcp,Is there an MCP server for this app? Published by the vendor (official) or a third party (community)?,official | community | none,,,
92,Otter AI,help.otter.ai,auth_family,"Does the API accept a static secret (API key / token / basic), an OAuth2 flow, or both?",static-secret | oauth-dance | both | none,,,
92,Otter AI,help.otter.ai,access,"Can a developer get working API credentials without contacting sales? If not, what stops them?",free | free-trial | paid-tier-required | admin-consent | app-review | partner-or-sales-gate | no-public-api,,,
92,Otter AI,help.otter.ai,existing_mcp,Is there an MCP server for this app? Published by the vendor (official) or a third party (community)?,official | community | none,,,
94,Consensus,consensus.app,auth_family,"Does the API accept a static secret (API key / token / basic), an OAuth2 flow, or both?",static-secret | oauth-dance | both | none,,,
94,Consensus,consensus.app,access,"Can a developer get working API credentials without contacting sales? If not, what stops them?",free | free-trial | paid-tier-required | admin-consent | app-review | partner-or-sales-gate | no-public-api,,,
94,Consensus,consensus.app,existing_mcp,Is there an MCP server for this app? Published by the vendor (official) or a third party (community)?,official | community | none,,,
95,Reducto,reducto.ai,auth_family,"Does the API accept a static secret (API key / token / basic), an OAuth2 flow, or both?",static-secret | oauth-dance | both | none,,,
95,Reducto,reducto.ai,access,"Can a developer get working API credentials without contacting sales? If not, what stops them?",free | free-trial | paid-tier-required | admin-consent | app-review | partner-or-sales-gate | no-public-api,,,
95,Reducto,reducto.ai,existing_mcp,Is there an MCP server for this app? Published by the vendor (official) or a third party (community)?,official | community | none,,,
99,YouTube Transcript,transcriptapi.com,auth_family,"Does the API accept a static secret (API key / token / basic), an OAuth2 flow, or both?",static-secret | oauth-dance | both | none,,,
99,YouTube Transcript,transcriptapi.com,access,"Can a developer get working API credentials without contacting sales? If not, what stops them?",free | free-trial | paid-tier-required | admin-consent | app-review | partner-or-sales-gate | no-public-api,,,
99,YouTube Transcript,transcriptapi.com,existing_mcp,Is there an MCP server for this app? Published by the vendor (official) or a third party (community)?,official | community | none,,,
