id,app,category,hint,slug_guess
1,Salesforce,CRM and Sales,salesforce.com,salesforce
2,HubSpot,CRM and Sales,hubspot.com,hubspot
3,Pipedrive,CRM and Sales,pipedrive.com,pipedrive
4,Attio,CRM and Sales,attio.com,attio
5,Twenty,CRM and Sales,twenty.com (open-source CRM),twenty
6,Podio,CRM and Sales,podio.com,podio
7,Zoho CRM,CRM and Sales,zoho.com/crm,zoho_crm
8,Close,CRM and Sales,close.com,close
9,Copper,CRM and Sales,copper.com,copper
10,DealCloud,CRM and Sales,api.docs.dealcloud.com,dealcloud
11,Zendesk,Support and Helpdesk,zendesk.com,zendesk
12,Intercom,Support and Helpdesk,intercom.com,intercom
13,Freshdesk,Support and Helpdesk,freshdesk.com,freshdesk
14,Front,Support and Helpdesk,front.com,front
15,Pylon,Support and Helpdesk,usepylon.com,pylon
16,LiveAgent,Support and Helpdesk,liveagent.com,liveagent
17,Plain,Support and Helpdesk,plain.com,plain
18,Help Scout,Support and Helpdesk,helpscout.com,helpscout
19,Gorgias,Support and Helpdesk,gorgias.com,gorgias
20,Gladly,Support and Helpdesk,gladly.com,gladly
21,Slack,Communications and Messaging,slack.com,slack
22,Twilio,Communications and Messaging,twilio.com,twilio
23,Zoho Cliq,Communications and Messaging,zoho.com/cliq,zoho_cliq
24,Lark (Larksuite),Communications and Messaging,open.larksuite.com,lark
25,Pumble,Communications and Messaging,pumble.com,pumble
26,Discord,Communications and Messaging,discord.com,discord
27,Telegram,Communications and Messaging,core.telegram.org,telegram
28,WhatsApp Business,Communications and Messaging,developers.facebook.com/docs/whatsapp,whatsapp
29,Aircall,Communications and Messaging,aircall.io,aircall
30,Vonage,Communications and Messaging,developer.vonage.com,vonage
31,Google Ads,"Marketing, Ads, Email and Social",developers.google.com/google-ads,googleads
32,Meta Ads,"Marketing, Ads, Email and Social",developers.facebook.com/docs/marketing-apis,meta_ads
33,LinkedIn Ads,"Marketing, Ads, Email and Social",learn.microsoft.com/linkedin/marketing,linkedin_ads
34,GoHighLevel,"Marketing, Ads, Email and Social",highlevel.stoplight.io,gohighlevel
35,Mailchimp,"Marketing, Ads, Email and Social",mailchimp.com/developer,mailchimp
36,Klaviyo,"Marketing, Ads, Email and Social",developers.klaviyo.com,klaviyo
37,systeme.io,"Marketing, Ads, Email and Social",systeme.io (funnel builder),systeme
38,Pinterest,"Marketing, Ads, Email and Social",developers.pinterest.com,pinterest
39,Threads (Meta),"Marketing, Ads, Email and Social",developers.facebook.com/docs/threads,threads
40,SendGrid,"Marketing, Ads, Email and Social",sendgrid.com,sendgrid
41,Shopify,Ecommerce,shopify.dev,shopify
42,WooCommerce,Ecommerce,woocommerce.com/document/woocommerce-rest-api,woocommerce
43,BigCommerce,Ecommerce,developer.bigcommerce.com,bigcommerce
44,Salesforce Commerce Cloud,Ecommerce,developer.salesforce.com/docs/commerce,salesforce_commerce_cloud
45,Magento (Adobe Commerce),Ecommerce,developer.adobe.com/commerce,magento
46,Squarespace,Ecommerce,developers.squarespace.com,squarespace
47,Ecwid,Ecommerce,api-docs.ecwid.com,ecwid
48,Gumroad,Ecommerce,gumroad.com/api,gumroad
49,Amazon Selling Partner,Ecommerce,developer-docs.amazon.com/sp-api,amazon
50,fanbasis,Ecommerce,fanbasis.com,fanbasis
51,DataForSEO,"Data, SEO and Scraping",docs.dataforseo.com,dataforseo
52,SE Ranking,"Data, SEO and Scraping",seranking.com/api,seranking
53,Ahrefs,"Data, SEO and Scraping",ahrefs.com/api,ahrefs
54,MrScraper,"Data, SEO and Scraping",docs.mrscraper.com,mrscraper
55,Apify,"Data, SEO and Scraping",docs.apify.com,apify
56,Firecrawl,"Data, SEO and Scraping",firecrawl.dev,firecrawl
57,Bright Data,"Data, SEO and Scraping",brightdata.com,brightdata
58,Sherlock,"Data, SEO and Scraping",github.com/sherlock-project/sherlock,sherlock
59,Waterfall.io,"Data, SEO and Scraping",waterfall.io (contact/company intel),waterfall
60,Clay,"Data, SEO and Scraping",clay.com,clay
61,GitHub,"Developer, Infra and Data platforms",docs.github.com/rest,github
62,Vercel,"Developer, Infra and Data platforms",vercel.com/docs/rest-api,vercel
63,Netlify,"Developer, Infra and Data platforms",docs.netlify.com/api,netlify
64,Cloudflare,"Developer, Infra and Data platforms",developers.cloudflare.com/api,cloudflare
65,Supabase,"Developer, Infra and Data platforms",supabase.com/docs,supabase
66,Neo4j,"Developer, Infra and Data platforms",neo4j.com/docs/api,neo4j
67,Snowflake,"Developer, Infra and Data platforms",docs.snowflake.com,snowflake
68,MongoDB Atlas,"Developer, Infra and Data platforms",mongodb.com/docs/atlas/api,mongodb
69,Datadog,"Developer, Infra and Data platforms",docs.datadoghq.com/api,datadog
70,Sentry,"Developer, Infra and Data platforms",docs.sentry.io/api,sentry
71,Notion,Productivity and Project Management,developers.notion.com,notion
72,Airtable,Productivity and Project Management,airtable.com/developers,airtable
73,Linear,Productivity and Project Management,developers.linear.app,linear
74,Jira,Productivity and Project Management,developer.atlassian.com,jira
75,Asana,Productivity and Project Management,developers.asana.com,asana
76,Monday.com,Productivity and Project Management,developer.monday.com,monday
77,ClickUp,Productivity and Project Management,clickup.com/api,clickup
78,Coda,Productivity and Project Management,coda.io/developers,coda
79,Smartsheet,Productivity and Project Management,smartsheet.com/developers,smartsheet
80,Harvest,Productivity and Project Management,help.getharvest.com/api-v2,harvest
81,Stripe,Finance and Fintech,stripe.com/docs/api,stripe
82,Plaid,Finance and Fintech,plaid.com/docs,plaid
83,Binance,Finance and Fintech,binance-docs.github.io,binance
84,Paygent Connect,Finance and Fintech,paygent (NMI-powered),paygent
85,iPayX,Finance and Fintech,ipayx.ai/docs,ipayx
86,QuickBooks,Finance and Fintech,developer.intuit.com,quickbooks
87,Xero,Finance and Fintech,developer.xero.com,xero
88,Brex,Finance and Fintech,developer.brex.com,brex
89,Ramp,Finance and Fintech,docs.ramp.com,ramp
90,PitchBook,Finance and Fintech,pitchbook.com (research API),pitchbook
91,NotebookLM,"AI, Research and Media-native",cloud.google.com/gemini (Enterprise API),notebooklm
92,Otter AI,"AI, Research and Media-native",help.otter.ai (MCP server),otter
93,Fathom,"AI, Research and Media-native",fathom.video,fathom
94,Consensus,"AI, Research and Media-native",consensus.app (OAuth requested),consensus
95,Reducto,"AI, Research and Media-native",reducto.ai (document parsing),reducto
96,Devin,"AI, Research and Media-native",docs.devin.ai (MCP),devin
97,higgsfield,"AI, Research and Media-native",higgsfield.ai/cli (content suite),higgsfield
98,Mermaid CLI,"AI, Research and Media-native",github.com/mermaid-js/mermaid-cli,mermaid
99,YouTube Transcript,"AI, Research and Media-native",transcriptapi.com,youtube_transcript
100,Grain,"AI, Research and Media-native",grain.com (meeting notes),grain
